"id","tti","cb_index","it","total_its","ext1_avg","ext2_avg","ext1_avg_abs","ext2_avg_abs","cb_size","tbs","mcs","snr","dec_time","avg_it_block","crc","filename"
21815,2272,0,4,6,-4386488,-3116770,4778884,3412496,4352,12960,15,9.40314,552,5.333333,1,"ags_data_2"
21815,2272,0,5,6,-2877505,-6152480,3124015,6718744,4352,12960,15,9.40314,552,5.333333,1,"ags_data_2"
21816,2272,1,0,5,-983626,-6152480,1023300,6718744,4352,12960,15,9.40314,552,5.333333,1,"ags_data_2"
21816,2272,1,1,5,-983626,-1720847,1023300,1741865,4352,12960,15,9.40314,552,5.333333,1,"ags_data_2"
21816,2272,1,2,5,-2698343,-1720847,2705957,1741865,4352,12960,15,9.40314,552,5.333333,1,"ags_data_2"
21816,2272,1,3,5,-1961122,-4146569,1976644,4147961,4352,12960,15,9.40314,552,5.333333,1,"ags_data_2"
21816,2272,1,4,5,-6260267,-4146569,6260267,4147961,4352,12960,15,9.40314,552,5.333333,1,"ags_data_2"
21821,2275,0,0,10,-791356,-4143513,879226,4185375,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,1,10,-791356,-1104168,879226,1191108,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,2,10,-1316258,-1104168,1399228,1191108,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,3,10,-1003446,-1465291,1088574,1546529,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,4,10,-1581060,-1465291,1664664,1546529,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,5,10,-1119215,-1666542,1205667,1740606,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,6,10,-1706038,-1666542,1796928,1740606,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,7,10,-1158711,-1744697,1256051,1840103,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,8,10,-1704749,-1744697,1791533,1840103,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21821,2275,0,9,10,-1118763,-1610152,1218905,1705842,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,0,10,-822100,-1610152,918168,1705842,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,1,10,-822100,-1120665,918168,1224449,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,2,10,-1184699,-1120665,1296541,1224449,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,3,10,-886134,-1150992,1002310,1271916,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,4,10,-1124565,-1150992,1259813,1271916,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,5,10,-859707,-1144726,979017,1284970,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,6,10,-1170241,-1144726,1303967,1284970,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,7,10,-885222,-1147814,1004006,1283926,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,8,10,-1082465,-1147814,1203273,1283926,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21822,2275,1,9,10,-819873,-1070413,929979,1193169,4352,12960,15,8.652853,715,10,0,"ags_data_2"
21827,2278,0,0,10,-814393,-1679116,916555,1879696,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,1,10,-814393,-1071547,916555,1188805,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,2,10,-1120925,-1071547,1242593,1188805,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,3,10,-863771,-1116749,983303,1242589,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,4,10,-1120225,-1116749,1242837,1242589,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,5,10,-867247,-1113833,987003,1245129,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,6,10,-1053533,-1113833,1169869,1245129,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,7,10,-806947,-992317,926857,1122285,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,8,10,-1037416,-992317,1165102,1122285,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21827,2278,0,9,10,-852046,-1111171,968736,1240899,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,0,10,-768842,-1111171,934580,1240899,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,1,10,-768842,-1072004,934580,1257946,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,2,10,-1223722,-1072004,1420698,1257946,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,3,10,-920560,-1350338,1103374,1558658,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,4,10,-1479031,-1350338,1684241,1558658,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,5,10,-1049253,-1564843,1227361,1768793,4352,12960,15,8.177324,681,10,0,"ags_data_2"
21828,2278,1,6,10,-1614117,-1564843,1813027,1768793,4352,12960,15,8.177324,681,10,0,"ags_data_2"
